NodeId,BrowseName,DisplayName,NodeClass,Path
ns=0;i=85,Objects,Objects,Object,Objects/Objects
ns=0;i=2253,Server,Server,Object,Objects/Objects/Server
ns=1;s=:Robot,Robot,Robot,Object,Objects/Objects/Robot
ns=2;s=VDMA,VDMAFolder,VDMA,Object,Objects/Objects/VDMAFolder
ns=0;i=2254,ServerArray,ServerArray,Variable,Objects/Objects/Server/ServerArray
ns=0;i=2255,NamespaceArray,NamespaceArray,Variable,Objects/Objects/Server/NamespaceArray
ns=0;i=2267,ServiceLevel,ServiceLevel,Variable,Objects/Objects/Server/ServiceLevel
ns=0;i=2994,Auditing,Auditing,Variable,Objects/Objects/Server/Auditing
ns=0;i=2256,ServerStatus,ServerStatus,Variable,Objects/Objects/Server/ServerStatus
ns=0;i=2268,ServerCapabilities,ServerCapabilities,Object,Objects/Objects/Server/ServerCapabilities
ns=0;i=2274,ServerDiagnostics,ServerDiagnostics,Object,Objects/Objects/Server/ServerDiagnostics
ns=0;i=2295,VendorServerInfo,VendorServerInfo,Object,Objects/Objects/Server/VendorServerInfo
ns=0;i=2296,ServerRedundancy,ServerRedundancy,Object,Objects/Objects/Server/ServerRedundancy
ns=0;i=11715,Namespaces,Namespaces,Object,Objects/Objects/Server/Namespaces
ns=0;i=11492,GetMonitoredItems,GetMonitoredItems,Method,Objects/Objects/Server/GetMonitoredItems
ns=0;i=12749,SetSubscriptionDurable,SetSubscriptionDurable,Method,Objects/Objects/Server/SetSubscriptionDurable
ns=0;i=12886,RequestServerStateChange,RequestServerStateChange,Method,Objects/Objects/Server/RequestServerStateChange
ns=0;i=17594,Dictionaries,Dictionaries,Object,Objects/Objects/Server/Dictionaries
ns=0;i=14443,PublishSubscribe,PublishSubscribe,Object,Objects/Objects/Server/PublishSubscribe
ns=1;s=Robot:Controller,Controller,Controller,Object,Objects/Objects/Robot/Controller
ns=1;s=Robot:Inputs/Outputs,Inputs/Outputs,Inputs/Outputs,Object,Objects/Objects/Robot/Inputs/Outputs
ns=1;s=:Robot:Applications,Applications,Applications,Object,Objects/Objects/Robot/Applications
ns=1;s=:Logs,Logs,Logs,Object,Objects/Objects/Robot/Logs
ns=2;s=MotionDeviceSystemFolder,<MotionDeviceSystemFolder>,MotionDeviceSystemFolder,Object,Objects/Objects/VDMAFolder/<MotionDeviceSystemFolder>
ns=0;i=2257,StartTime,StartTime,Variable,Objects/Objects/Server/ServerStatus/StartTime
ns=0;i=2258,CurrentTime,CurrentTime,Variable,Objects/Objects/Server/ServerStatus/CurrentTime
ns=0;i=2259,State,State,Variable,Objects/Objects/Server/ServerStatus/State
ns=0;i=2260,BuildInfo,BuildInfo,Variable,Objects/Objects/Server/ServerStatus/BuildInfo
ns=0;i=2992,SecondsTillShutdown,SecondsTillShutdown,Variable,Objects/Objects/Server/ServerStatus/SecondsTillShutdown
ns=0;i=2993,ShutdownReason,ShutdownReason,Variable,Objects/Objects/Server/ServerStatus/ShutdownReason
ns=0;i=2269,ServerProfileArray,ServerProfileArray,Variable,Objects/Objects/Server/ServerCapabilities/ServerProfileArray
ns=0;i=2271,LocaleIdArray,LocaleIdArray,Variable,Objects/Objects/Server/ServerCapabilities/LocaleIdArray
ns=0;i=2272,MinSupportedSampleRate,MinSupportedSampleRate,Variable,Objects/Objects/Server/ServerCapabilities/MinSupportedSampleRate
ns=0;i=2735,MaxBrowseContinuationPoints,MaxBrowseContinuationPoints,Variable,Objects/Objects/Server/ServerCapabilities/MaxBrowseContinuationPoints
ns=0;i=2736,MaxQueryContinuationPoints,MaxQueryContinuationPoints,Variable,Objects/Objects/Server/ServerCapabilities/MaxQueryContinuationPoints
ns=0;i=2737,MaxHistoryContinuationPoints,MaxHistoryContinuationPoints,Variable,Objects/Objects/Server/ServerCapabilities/MaxHistoryContinuationPoints
ns=0;i=3704,SoftwareCertificates,SoftwareCertificates,Variable,Objects/Objects/Server/ServerCapabilities/SoftwareCertificates
ns=0;i=11702,MaxArrayLength,MaxArrayLength,Variable,Objects/Objects/Server/ServerCapabilities/MaxArrayLength
ns=0;i=11703,MaxStringLength,MaxStringLength,Variable,Objects/Objects/Server/ServerCapabilities/MaxStringLength
ns=0;i=12911,MaxByteStringLength,MaxByteStringLength,Variable,Objects/Objects/Server/ServerCapabilities/MaxByteStringLength
ns=0;i=11704,OperationLimits,OperationLimits,Object,Objects/Objects/Server/ServerCapabilities/OperationLimits
ns=0;i=2996,ModellingRules,ModellingRules,Object,Objects/Objects/Server/ServerCapabilities/ModellingRules
ns=0;i=2997,AggregateFunctions,AggregateFunctions,Object,Objects/Objects/Server/ServerCapabilities/AggregateFunctions
ns=0;i=15606,RoleSet,RoleSet,Object,Objects/Objects/Server/ServerCapabilities/RoleSet
ns=0;i=11192,HistoryServerCapabilities,HistoryServerCapabilities,Object,Objects/Objects/Server/ServerCapabilities/HistoryServerCapabilities
ns=0;i=2294,EnabledFlag,EnabledFlag,Variable,Objects/Objects/Server/ServerDiagnostics/EnabledFlag
ns=3;s=UpdateInterval,UpdateInterval,UpdateInterval,Variable,Objects/Objects/Server/ServerDiagnostics/UpdateInterval
ns=0;i=2275,ServerDiagnosticsSummary,ServerDiagnosticsSummary,Variable,Objects/Objects/Server/ServerDiagnostics/ServerDiagnosticsSummary
ns=0;i=2290,SubscriptionDiagnosticsArray,SubscriptionDiagnosticsArray,Variable,Objects/Objects/Server/ServerDiagnostics/SubscriptionDiagnosticsArray
ns=0;i=3706,SessionsDiagnosticsSummary,SessionsDiagnosticsSummary,Object,Objects/Objects/Server/ServerDiagnostics/SessionsDiagnosticsSummary
ns=0;i=3709,RedundancySupport,RedundancySupport,Variable,Objects/Objects/Server/ServerRedundancy/RedundancySupport
ns=0;i=11312,CurrentServerId,CurrentServerId,Variable,Objects/Objects/Server/ServerRedundancy/CurrentServerId
ns=0;i=11313,RedundantServerArray,RedundantServerArray,Variable,Objects/Objects/Server/ServerRedundancy/RedundantServerArray
ns=0;i=11314,ServerUriArray,ServerUriArray,Variable,Objects/Objects/Server/ServerRedundancy/ServerUriArray
ns=0;i=14415,ServerNetworkGroups,ServerNetworkGroups,Variable,Objects/Objects/Server/ServerRedundancy/ServerNetworkGroups
ns=0;i=15957,http://opcfoundation.org/UA/,http://opcfoundation.org/UA/,Object,Objects/Objects/Server/Namespaces/http://opcfoundation.org/UA/
ns=0;i=11493,InputArguments,InputArguments,Variable,Objects/Objects/Server/GetMonitoredItems/InputArguments
ns=0;i=11494,OutputArguments,OutputArguments,Variable,Objects/Objects/Server/GetMonitoredItems/OutputArguments
ns=0;i=12750,InputArguments,InputArguments,Variable,Objects/Objects/Server/SetSubscriptionDurable/InputArguments
ns=0;i=12751,OutputArguments,OutputArguments,Variable,Objects/Objects/Server/SetSubscriptionDurable/OutputArguments
ns=0;i=12887,InputArguments,InputArguments,Variable,Objects/Objects/Server/RequestServerStateChange/InputArguments
ns=0;i=17481,SupportedTransportProfiles,SupportedTransportProfiles,Variable,Objects/Objects/Server/PublishSubscribe/SupportedTransportProfiles
ns=0;i=15215,GetSecurityKeys,GetSecurityKeys,Method,Objects/Objects/Server/PublishSubscribe/GetSecurityKeys
ns=0;i=15440,GetSecurityGroup,GetSecurityGroup,Method,Objects/Objects/Server/PublishSubscribe/GetSecurityGroup
ns=0;i=15443,SecurityGroups,SecurityGroups,Object,Objects/Objects/Server/PublishSubscribe/SecurityGroups
ns=0;i=17366,AddConnection,AddConnection,Method,Objects/Objects/Server/PublishSubscribe/AddConnection
ns=0;i=17369,RemoveConnection,RemoveConnection,Method,Objects/Objects/Server/PublishSubscribe/RemoveConnection
ns=0;i=17371,PublishedDataSets,PublishedDataSets,Object,Objects/Objects/Server/PublishSubscribe/PublishedDataSets
ns=0;i=17405,Status,Status,Object,Objects/Objects/Server/PublishSubscribe/Status
ns=0;i=17409,Diagnostics,Diagnostics,Object,Objects/Objects/Server/PublishSubscribe/Diagnostics
ns=1;s=Robot:Controller:System,System,System,Object,Objects/Objects/Robot/Controller/System
ns=1;s=Robot:Controller:Versions,Versions,Versions,Object,Objects/Objects/Robot/Controller/Versions
ns=1;s=Robot:Inputs/Outputs:CLP_LS,CLP_LS,CLP_LS,Object,Objects/Objects/Robot/Inputs/Outputs/CLP_LS
ns=1;s=Robot:Inputs/Outputs:CpuIO,CpuIO,CpuIO,Object,Objects/Objects/Robot/Inputs/Outputs/CpuIO
ns=1;s=Robot:Inputs/Outputs:CpuUsage,CpuUsage,CpuUsage,Object,Objects/Objects/Robot/Inputs/Outputs/CpuUsage
ns=1;s=Robot:Inputs/Outputs:DsiIO,DsiIO,DsiIO,Object,Objects/Objects/Robot/Inputs/Outputs/DsiIO
ns=1;s=Robot:Inputs/Outputs:DsiIoSafe,DsiIoSafe,DsiIoSafe,Object,Objects/Objects/Robot/Inputs/Outputs/DsiIoSafe
ns=1;s=Robot:Inputs/Outputs:FastIO,FastIO,FastIO,Object,Objects/Objects/Robot/Inputs/Outputs/FastIO
ns=1;s=Robot:Inputs/Outputs:J206_EtherCAT,J206_EtherCAT,J206_EtherCAT,Object,Objects/Objects/Robot/Inputs/Outputs/J206_EtherCAT
ns=1;s=Robot:Inputs/Outputs:PowerSupplyIO,PowerSupplyIO,PowerSupplyIO,Object,Objects/Objects/Robot/Inputs/Outputs/PowerSupplyIO
ns=1;s=Robot:Inputs/Outputs:Rsi9IO,Rsi9IO,Rsi9IO,Object,Objects/Objects/Robot/Inputs/Outputs/Rsi9IO
ns=1;s=Robot:Inputs/Outputs:StarcIO,StarcIO,StarcIO,Object,Objects/Objects/Robot/Inputs/Outputs/StarcIO
ns=1;s=Robot:Inputs/Outputs:ValveIO,ValveIO,ValveIO,Object,Objects/Objects/Robot/Inputs/Outputs/ValveIO
ns=1;s=:Robot:Applications:Running Application,Running Application,Running Application,Variable,Objects/Objects/Robot/Applications/Running Application
ns=1;s=CS9LogsNotifier,CS9LogsNotifier,CS9LogsNotifier,Object,Objects/Objects/Robot/Logs/CS9LogsNotifier
